timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1599950234973,447, login ,200,OK,user time Entries 1-1,text,true,,459,276,5,5,http://localhost:3000/api/user/login,447,0,1
1599950235085,424, login ,200,OK,user time Entries 1-2,text,true,,459,276,6,6,http://localhost:3000/api/user/login,424,0,1
1599950235184,419, login ,200,OK,user time Entries 1-3,text,true,,459,276,7,7,http://localhost:3000/api/user/login,419,0,1
1599950235287,409, login ,200,OK,user time Entries 1-4,text,true,,459,276,8,8,http://localhost:3000/api/user/login,409,0,1
1599950235386,605, login ,200,OK,user time Entries 1-5,text,true,,459,276,11,11,http://localhost:3000/api/user/login,605,0,0
1599950235484,616, login ,200,OK,user time Entries 1-6,text,true,,459,276,12,12,http://localhost:3000/api/user/login,616,0,1
1599950235585,612, login ,200,OK,user time Entries 1-7,text,true,,459,276,13,13,http://localhost:3000/api/user/login,612,0,1
1599950235786,503, login ,200,OK,user time Entries 1-9,text,true,,459,276,14,14,http://localhost:3000/api/user/login,503,0,1
1599950235685,693, login ,200,OK,user time Entries 1-8,text,true,,459,276,14,14,http://localhost:3000/api/user/login,693,0,0
1599950235885,594, login ,200,OK,user time Entries 1-10,text,true,,459,276,15,15,http://localhost:3000/api/user/login,594,0,1
1599950235985,636, login ,200,OK,user time Entries 1-11,text,true,,459,276,17,17,http://localhost:3000/api/user/login,636,0,1
1599950236090,667, login ,200,OK,user time Entries 1-12,text,true,,459,276,18,18,http://localhost:3000/api/user/login,667,0,0
1599950236185,674, login ,200,OK,user time Entries 1-13,text,true,,459,276,19,19,http://localhost:3000/api/user/login,674,0,0
1599950236284,673, login ,200,OK,user time Entries 1-14,text,true,,459,276,20,20,http://localhost:3000/api/user/login,673,0,1
1599950236386,768, login ,200,OK,user time Entries 1-15,text,true,,459,276,22,22,http://localhost:3000/api/user/login,768,0,1
1599950236486,841, login ,200,OK,user time Entries 1-16,text,true,,459,276,24,24,http://localhost:3000/api/user/login,841,0,0
1599950236585,857, login ,200,OK,user time Entries 1-17,text,true,,459,276,25,25,http://localhost:3000/api/user/login,857,0,1
1599950236689,904, login ,200,OK,user time Entries 1-18,text,true,,459,276,27,27,http://localhost:3000/api/user/login,904,0,0
1599950235420,2203,add time entry,200,OK,user time Entries 1-1,text,true,,410,605,27,27,http://localhost:3000/api/userTimeEntry/addTimeEntry,2203,0,0
1599950235510,2115,add time entry,200,OK,user time Entries 1-2,text,true,,410,605,27,27,http://localhost:3000/api/userTimeEntry/addTimeEntry,2115,0,0
1599950236888,872, login ,200,OK,user time Entries 1-20,text,true,,459,276,28,28,http://localhost:3000/api/user/login,872,0,1
1599950237089,776, login ,200,OK,user time Entries 1-22,text,true,,459,276,29,29,http://localhost:3000/api/user/login,776,0,1
1599950236788,1175, login ,200,OK,user time Entries 1-19,text,true,,459,276,30,30,http://localhost:3000/api/user/login,1175,0,1
1599950236988,1066, login ,200,OK,user time Entries 1-21,text,true,,459,276,31,31,http://localhost:3000/api/user/login,1066,0,1
1599950235603,2461,add time entry,200,OK,user time Entries 1-3,text,true,,410,605,31,31,http://localhost:3000/api/userTimeEntry/addTimeEntry,2461,0,0
1599950237189,973, login ,200,OK,user time Entries 1-23,text,true,,459,276,32,32,http://localhost:3000/api/user/login,973,0,1
1599950237289,987, login ,200,OK,user time Entries 1-24,text,true,,459,276,33,33,http://localhost:3000/api/user/login,987,0,0
1599950235696,2612,add time entry,200,OK,user time Entries 1-4,text,true,,410,605,34,34,http://localhost:3000/api/userTimeEntry/addTimeEntry,2612,0,0
1599950237587,1002, login ,200,OK,user time Entries 1-27,text,true,,459,276,37,37,http://localhost:3000/api/user/login,1002,0,1
1599950237388,1316, login ,200,OK,user time Entries 1-25,text,true,,459,276,38,38,http://localhost:3000/api/user/login,1316,0,0
1599950236100,2641,add time entry,200,OK,user time Entries 1-6,text,true,,410,605,38,38,http://localhost:3000/api/userTimeEntry/addTimeEntry,2641,0,0
1599950237506,1338, login ,200,OK,user time Entries 1-26,text,true,,459,276,39,39,http://localhost:3000/api/user/login,1338,0,3
1599950236197,2688,add time entry,200,OK,user time Entries 1-7,text,true,,410,605,39,39,http://localhost:3000/api/userTimeEntry/addTimeEntry,2688,0,0
1599950235991,2903,add time entry,200,OK,user time Entries 1-5,text,true,,410,605,40,40,http://localhost:3000/api/userTimeEntry/addTimeEntry,2903,0,0
1599950236378,2557,add time entry,200,OK,user time Entries 1-8,text,true,,410,605,40,40,http://localhost:3000/api/userTimeEntry/addTimeEntry,2557,0,0
1599950237988,1041, login ,200,OK,user time Entries 1-31,text,true,,459,276,41,41,http://localhost:3000/api/user/login,1041,0,1
1599950236290,2742,add time entry,200,OK,user time Entries 1-9,text,true,,410,605,41,41,http://localhost:3000/api/userTimeEntry/addTimeEntry,2742,0,0
1599950237888,1237, login ,200,OK,user time Entries 1-30,text,true,,459,276,42,42,http://localhost:3000/api/user/login,1237,0,0
1599950237687,1531, login ,200,OK,user time Entries 1-28,text,true,,459,276,43,43,http://localhost:3000/api/user/login,1531,0,1
1599950237788,1521, login ,200,OK,user time Entries 1-29,text,true,,459,276,44,44,http://localhost:3000/api/user/login,1521,0,0
1599950238286,1124, login ,200,OK,user time Entries 1-34,text,true,,459,276,45,45,http://localhost:3000/api/user/login,1124,0,1
1599950236622,2814,add time entry,200,OK,user time Entries 1-11,text,true,,410,605,45,45,http://localhost:3000/api/userTimeEntry/addTimeEntry,2814,0,0
1599950238088,1440, login ,200,OK,user time Entries 1-32,text,true,,459,276,46,46,http://localhost:3000/api/user/login,1440,0,0
1599950238487,1144, login ,200,OK,user time Entries 1-36,text,true,,459,276,47,47,http://localhost:3000/api/user/login,1144,0,1
